su_id,std_dem,avg_plan_c,std_plan_c,avg_prof_c,std_prof_c,dis2river,land cover,dis2faults,avg_slope,std_slope,lithology,medi_aspec
36,100.0235825,31.50605011,19.47928047,11.29317188,6.918811321,3742.205887,3,263.0031439,26.93321419,9.533839226,2,93.28924561
37,111.6506729,24.91392136,16.82762909,8.447540283,4.96671772,4233.463443,3,11171.47741,25.61670494,6.277131557,4,266.7107544
38,300.8843689,26.66825294,16.78469849,9.624865532,5.499042511,5702.546303,1,26572.94989,27.17679787,8.614926338,4,144.84758
39,87.92455292,31.53730965,17.07994652,8.442415237,4.969909191,2775.283868,3,34513.81464,11.43985653,3.020502329,4,147.8042603
40,82.5587616,23.55484962,16.76306534,6.165541172,3.412692785,1154.506449,3,23710.45859,12.60148048,5.009885311,4,161.5650482
41,126.134407,33.18986511,18.92317963,7.119968414,5.491181374,3367.901845,3,10191.85473,24.77032471,9.540192604,4,109.3105087
42,75.73846436,28.52159882,16.07746506,9.092359543,4.750811577,4735.412663,3,13407.91774,22.4458,7.84759,2,211.4812012
43,92.86761475,31.32423592,17.77200699,8.9719944,4.659557819,3059.07416,3,34833.86112,9.271424294,3.133006334,4,203.4545746
44,93.77348328,27.55321503,17.17645073,8.673191071,5.102166653,1483.481778,3,18198.37156,15.32945538,1.048675537,4,194.4981537
45,110.4107819,33.73043823,17.36953354,8.879116058,4.811069965,1852.923698,3,8443.496063,13.21332169,4.730514526,4,135
46,124.5808258,29.926651,15.94876003,8.196016312,5.082277298,3565.772106,3,10415.25416,30.68465042,8.369059563,4,170.5376892
47,128.7784729,36.91184616,15.17619896,12.17989635,6.369234562,3801.009971,3,10696.21599,32.22410202,10.41986847,4,141.2540283
48,209.3923035,42.65008926,29.81812096,9.153585434,5.800280571,156.3687142,1,31417.22397,32.82627106,7.47822237,4,18.88434219
49,98.37927246,29.56389236,19.13336563,8.596114159,5.425306797,902.5460098,3,16265.79122,10.21274281,6.659792423,4,177.0891724
50,133.9967499,26.79388428,16.34592056,8.55102253,5.607753277,2702.389676,3,10742.40077,24.6042347,8.880768776,4,242.3364868
51,85.16014099,29.50057411,19.68652916,9.746264458,5.993262768,4007.154227,3,11.53733791,25.10136604,9.251524925,2,236.2106323
52,91.97706604,27.42649078,16.92795372,7.724749565,4.72255373,4664.038014,3,652.2543555,18.45087051,6.791991711,4,85.38543701
53,91.89141846,26.49977303,19.83866119,8.429428101,4.981837273,3258.066078,3,26884.93688,20.69505501,11.07667637,4,249.4492188
54,124.6830139,32.12825775,22.41971207,6.995584488,3.948149204,3792.746474,3,9813.645778,22.4458,7.84759,4,69.49781036
55,77.28308868,33.07094574,18.62425804,12.65673351,7.438427448,1142.592976,3,14782.31979,23.84796524,7.507228374,4,139.2891541
56,177.1427917,24.30335426,15.78084183,8.987960815,5.068245888,4917.808838,3,26942.78613,11.26623154,3.417539358,4,185.1944275
57,145.3311768,21.44290924,16.37449265,8.673409462,5.448592186,2111.003025,3,28106.40406,23.66925049,9.754473686,2,204.3937378
58,90.87420654,31.1919632,15.35532665,8.263043404,5.308862209,1100.009091,3,17524.79325,6.234362125,1.310726881,4,201.0375061
59,62.5400238,26.90339088,18.42804146,6.525727749,3.709812403,1033.201421,3,17021.83372,5.546748638,0,4,193.3924866
60,158.3899536,39.8055687,27.82452011,9.191963196,4.803416252,231.0006389,1,6387.187767,25.90673065,6.544682503,4,324.2298889
61,178.9660034,27.59184837,16.76586723,8.537853241,4.948862076,4912.085295,3,12521.94293,25.41773987,8.056653976,4,69.94390869
62,139.9073486,24.79052162,15.87265968,9.598605156,6.264278889,5821.988646,3,26399.72122,27.97800255,9.751589775,4,119.6573715
63,202.9883423,33.88791275,23.65384102,10.33923531,6.804828644,2133.852219,1,26593.64831,30.88916779,9.572460175,4,45.56726456
64,164.5128479,27.02451515,17.32572365,10.27552032,6.254649162,1673.788812,3,26918.28577,29.50379753,9.296065331,4,164.6498718
65,72.41709137,26.36078453,14.8710413,4.561475277,2.515487194,2119.127613,3,35362.22815,9.68370533,4.603124142,4,235.8855286
66,136.3320313,34.08525085,26.32361031,8.291056633,5.049093723,3707.11324,3,9494.871503,27.24051094,8.611447334,4,20.86674118
67,84.3788147,23.41649246,15.05935478,6.506073952,3.744141102,778.6412212,3,3315.57976,11.02648544,5.658416271,2,255.1413879
68,119.3286591,36.25616074,25.5128231,9.959079742,6.074436188,291.1358319,3,6906.862951,30.40765762,9.045956612,4,37.63221359
69,109.8555679,25.09502602,17.03516769,7.655399323,5.735906124,2349.190217,3,34177.9275,22.72426033,4.894042015,4,83.21102905
70,117.0562515,51.03692245,27.77436256,9.103190422,4.912471771,550.32774,3,6121.986239,9.581443787,3.861568689,4,285.5725403
71,121.3303299,33.36299133,21.78778648,11.12672424,6.029846191,569.9848954,3,6060.630318,25.96974182,10.26893711,4,58.38528061
72,109.6634293,26.03717422,15.71166801,10.42798328,6.012253761,392.7564725,3,32946.56082,25.28521538,11.59494591,4,250.3426208
73,136.4106598,25.29348946,18.854105,10.40172577,7.694170952,216.6383314,3,32494.21683,26.62379456,13.88431454,4,98.88970947
74,96.4556427,27.61161423,14.61003971,7.463063717,4.716786385,3223.562639,3,35042.40212,16.49271202,5.921865463,4,270
75,182.1725159,31.12422371,19.83813667,10.98371983,6.293057442,1054.270997,3,34437.75586,18.21294785,8.835934639,4,191.0115356
76,306.6229553,29.02290154,19.01863861,9.607786179,6.323638916,5945.053984,1,26316.38024,29.29297447,11.57902145,4,283.5429077
77,122.9245071,23.46538353,15.16201591,6.682460785,3.906805992,6019.66663,3,26274.952,19.02446938,5.531046867,4,233.6993408
78,106.984169,23.01398087,16.99666214,9.288444519,6.301068306,1403.890286,3,31649.70982,26.78896141,9.757192612,4,244.1129761
